### ENSEMBLE l1664b70805x18876a ( x = 2.00, a = 0.16 fm )

# am = 0.06

# 		x = 1.88			1.94				2.00				2.06
# mom^2		E		dE		E		dE		E		dE		E		dE
0.00		0.25147		0.00030		0.24717		0.00030		0.24307		0.00029		0.23910		0.00028
1.00		0.32191		0.00047		0.31638		0.00046		0.31098		0.00049		0.30594		0.00048
2.00		0.3776		0.0017		0.3712		0.0016		0.3652		0.0015		0.3594		0.0014

# WE GET:

# am = 0.02

#		x = 1.88			1.94				2.00				2.06
# mom^2         E               dE              E               dE              E               dE              E               dE
0.00		0.14775		0.00036		0.14537		0.00036		0.14310		0.00035		0.14094		0.00035	
1.00		0.24835		0.00099		0.24442		0.00096		0.24066		0.00092		0.23707		0.00089
2.00		0.3204		0.0047		0.3155		0.0044		0.3109		0.0041		0.3064		0.0039

# WE GET: 

### ENSEMBLE l16128b7225x36836a ( x = 4.00, a = 0.16 fm )

# am = 0.05

# 		x = 3.76			3.88				4.00					
# mom^2		E		dE		E		dE		E		dE
0.00		0.11532		0.00012		0.11338		0.00012		0.11154		0.00012
1.00		0.15102		0.00085		0.14858		0.00071		0.14623		0.00061
2.00		0.1805		0.0010		0.17744		0.00094		0.17451		0.00088
